Surname,Firstname,Date Of Birth,dateOfDeath
'El Burro' Van Rankin, Jorge,5 June 1964, NULL
'El Francés', José,1971, NULL
'K', Murray the,14 February 1922,21 February 1982
'La Veneno', Cristina,19 March 1964, NULL
't Hart, Maarten,25 November 1944, NULL
't Hoen, Frans,29 August 1920,23 October 1967
't Hooft, Gerard,5 July 1946, NULL
't Seyen, Hilda,1895,1984
'Twinkie' Bird, Tracy,25 September 1966, NULL
-Alverio, Esteban Rodriguez,5 August 1992, NULL
.Ponnappan, Jai Krishna,7 August 1985, NULL
1, Todd,24 May 1970, NULL
13, Wednesday,12 August 1976, NULL
1975, The,12 September 1977, NULL
2:50, Egashira,27 October 1981, NULL
2X, Benjamin,14 July 1932,5 August 2005
3 Whippets, The,31 January 1961,27 August 2003 
3, Frank Ockenfels,29 September 1960, NULL
38G, Samantha,27 March 1969, NULL

